"Timestamp","Which item is SMALLER? (A/B)","The smaller is approximately ___% of the larger","Which item is SMALLER? (A/B)","The smaller is approximately ___% of the larger","Which item is SMALLER? (A/B)","The smaller is approximately ___% of the larger","Which item is SMALLER? (A/B)","The smaller is approximately ___% of the larger","Which item is SMALLER? (A/B)","The smaller is approximately ___% of the larger","Which item is SMALLER? (A/B)","The smaller is approximately ___% of the larger","Which item is SMALLER? (A/B)","The smaller is approximately ___% of the larger","Which item is SMALLER? (A/B)","The smaller is approximately ___% of the larger","Which item is SMALLER? (A/B)","The smaller is approximately ___% of the larger"
"2026/02/26 11:13:42 AM EST","A","75","A","66","A","80","A","66","A","75","A","30","A","50","A","75","B","80"
"2026/02/26 4:43:18 PM EST","A","80","A","66","A","80","A","75","A","90","A","33","A","66","A","80","B","75"
"2026/02/27 12:00:33 PM EST","A","75%","A","75%","A","75%","A","75%","A","75%","A","25%","A","50%","A","75%","B","about the same "
"2026/02/27 12:07:28 PM EST","A","75","A","75","A","75","A","60","A","70","A","70","A","65","A","70","B","80"
"2026/02/27 12:11:21 PM EST","A","75","A","80","A","75","A","75","A","66","A","25","A","85","A","75","B","80"
"2026/02/27 12:11:30 PM EST","A","20","B","10","A","25","A","20","A","10","A","25","A","10","A","15","B","10"
"2026/02/27 12:12:42 PM EST","A","60%","A","60","A","75","A","75","A","75","A","30","A","50","A","70","B","80"
"2026/02/27 12:12:44 PM EST","A","75","A","75","A","75","A","75","A","75","A","75","A","75","A","75","B","80"
"2026/02/27 12:12:48 PM EST","A","75","A","82","A","75","A","85","A","83","A","75","A","80","A","80","B","94"
"2026/02/27 12:13:15 PM EST","A","20","A","2","A","15","A","30","A","10","A","30","A","20","A","10","B","20"
"2026/02/27 12:14:48 PM EST","A","75","A","80","A","75","A","50","A","60","A","75","A","60","A","75","B","90"
"2026/02/27 12:15:06 PM EST","A","70","A","75","A","75","A","85","A","80","A","80","A","85","A","80","B","70"
"2026/02/27 12:17:51 PM EST","A","","A","50","A","75","A","75","A","50","A","25","A","50","A","75","B","50"
"2026/02/27 12:19:03 PM EST","A","75","A","55","A","60","A","75","A","50","A","25","A","10","A","77","B","30"
